table_name,column_name,data_type,NUMERIC_PRECISION,CHARACTER_MAXIMUM_LENGTH,NUMERIC_SCALE,nullable,IsPartOfPrimaryKey,max,min,avg,stddev,varience
EMR_CYXJ,YLJGZZJGDM,1,20,20,,1,0,12.0,12.0,12.0,0.0,0.0
EMR_CYXJ,ZYH,1,10,10,,0,0,8.0,8.0,8.0,0.0,0.0
EMR_CYXJ,XM,1,50,50,,1,0,8.0,4.0,5.0,0.68,0.47
EMR_RYJL,KSDM,1,4,4,,0,0,4.0,4.0,4.0,0.0,0.0
EMR_RYJL,BQMC,1,20,20,,1,0,6.0,4.0,5.0,0.49,0.24
EMR_CYXJ,KSDM,1,4,4,,0,0,4.0,4.0,4.0,0.0,0.0
EMR_CYXJ,KSMC,1,20,20,,1,0,6.0,4.0,5.0,0.47,0.23
EMR_CYXJ,RYRQSJ,3,23,16,3.0,1,0,8.0,8.0,8.0,0.0,0.0
EMR_CYXJ,CYRQSJ,3,23,16,3.0,1,0,8.0,8.0,8.0,0.0,0.0
