table_name,column_name,data_type,NUMERIC_PRECISION,CHARACTER_MAXIMUM_LENGTH,NUMERIC_SCALE,nullable,IsPartOfPrimaryKey,max,min,avg,stddev,varience
EMR_MJZFYSFXMMX,MJZH,1,8,8,,1,0,8,8,8,0.0,0.0
EMR_MJZFYSFXMMX,SFRQ,3,23,16,3.0,0,0,8,8,8,0.0,0.0
EMR_MJZFYSFXMMX,SFXMDM,1,10,10,,1,0,10,10,10,0.0,0.0
EMR_MJZFYSFXMMX,SFXMMC,1,255,255,,1,0,38,4,17,6.26,39.23
EMR_MJZFYSFXMMX,SFXMDJ,2,10,12,4.0,0,0,520,0,20,32.78,1074.45
EMR_MJZFYSFXMMX,SFXMSL,2,10,12,2.0,0,0,10,1,1,0.4,0.16
EMR_MJZFYSFXMMX,SFXMJE,2,16,18,4.0,0,0,520,0,22,34.11,1163.65
EMR_MJZFYSFXMMX,SFXMJE,2,16,18,4.0,0,0,520,0,22,34.11,1163.65
