table_name,column_name,data_type,NUMERIC_PRECISION,CHARACTER_MAXIMUM_LENGTH,NUMERIC_SCALE,nullable,IsPartOfPrimaryKey,max,min,avg,stddev,varience
view_inspec_result,input_date,1,20,20,,1,0,10,10,10,0.0,0.0
view_inspec_result,doc_inspec,1,20,20,,1,0,6,0,5,1.01,1.03
view_inspec_result,itemname,1,40,40,,0,0,14,1,4,2.07,4.28
view_inspec_result,inspec_name,1,20,20,,1,0,6,6,6,0.0,0.0
view_inspec_result,units,1,10,10,,1,0,8,0,2,2.4,5.74
view_inspec_result,ranges,1,30,30,,1,0,11,0,4,3.37,11.37
view_inspec_result,units,1,10,10,,1,0,8,0,2,2.4,5.74
view_inspec_result,instrument,1,20,20,,0,0,17,5,6,2.03,4.12
