table_name,column_name,data_type,NUMERIC_PRECISION,CHARACTER_MAXIMUM_LENGTH,NUMERIC_SCALE,nullable,IsPartOfPrimaryKey,max,min,avg,stddev,varience
EMR_ZY_FYJS,ZZJGDM,1,20,20,,1,0,12.0,12.0,12.0,0.0,0.0
EMR_ZY_FYJS,BAH,1,10,10,,0,0,8.0,8.0,8.0,0.0,0.0
EMR_ZY_FYJS,JSSJ,3,23,16,3.0,0,0,8.0,8.0,8.0,0.0,0.0
EMR_ZY_FYJS,ZJE,2,10,12,2.0,0,0,25534.0,0.0,4791.0,3266.45,10669723.46
EMR_ZY_FYJS,ZFJE,2,19,21,2.0,1,0,25534.0,0.0,2404.0,1916.52,3673050.54
EMR_ZY_FYJS,YBJE,2,11,13,2.0,1,0,11058.0,0.0,2378.0,2080.2,4327233.22
