,data_type,nullable,IsPartOfPrimaryKey,max,min,avg,stddev,varience,table_name,column_name
111,1,1,0,8.0,4.0,6.0,1.3,1.69,TB_ZY_RYDJB,ZYYSXM
124,1,0,0,8.0,8.0,8.0,0.0,0.0,TB_ZY_ZYJZJL,CISID
146,3,1,0,8.0,8.0,8.0,0.0,0.0,TB_ZY_ZYYZMX,YZZZSJ
76,1,1,0,8.0,8.0,8.0,0.0,0.0,TB_MZ_JSB,JZLSH
38,1,1,0,8.0,0.0,7.0,0.99,0.97,TB_MZ_CFMX,JZLSH
39,1,1,0,8.0,8.0,8.0,0.0,0.0,TB_MZ_CFMX,KH
43,1,1,0,8.0,8.0,8.0,0.0,0.0,TB_MZ_CFZB,KH
28,1,1,0,8.0,0.0,2.0,2.4,5.74,TB_LIS_JYJGZB,JYDLJGJSDW
50,3,1,0,8.0,8.0,8.0,0.0,0.0,TB_MZ_CFZB,KFRQ
57,1,0,0,8.0,8.0,8.0,0.0,0.0,TB_MZ_GHMXB,JZLSH
58,1,1,0,8.0,8.0,8.0,0.0,0.0,TB_MZ_GHMXB,KH
60,3,0,0,8.0,8.0,8.0,0.0,0.0,TB_MZ_GHMXB,GTHSJ
78,3,0,0,8.0,8.0,8.0,0.0,0.0,TB_MZ_JSB,FYJSSJ
13,3,1,0,8.0,8.0,8.0,0.0,0.0,TB_LIS_JYBG,CJRQ
12,3,1,0,8.0,8.0,8.0,0.0,0.0,TB_LIS_JYBG,SQRQ
11,1,1,0,8.0,0.0,5.0,1.08,1.16,TB_LIS_JYBG,SQKSMC
30,1,1,0,8.0,0.0,2.0,2.4,5.74,TB_LIS_JYJGZB,JLDW
74,1,1,0,8.0,8.0,8.0,0.0,0.0,TB_MZ_JSB,KH
65,3,1,0,8.0,8.0,8.0,0.0,0.0,TB_MZ_GHMXB,CSRQ
5,1,1,0,8.0,0.0,5.0,1.08,1.16,TB_LIS_JYBG,BQ
2,1,1,0,8.0,4.0,5.0,0.54,0.29,TB_LIS_JYBG,BRXM
73,1,0,0,8.0,8.0,8.0,0.0,0.0,TB_MZ_JSB,JSJLID
42,1,1,0,9.0,0.0,7.0,0.72,0.52,TB_MZ_CFZB,JZLSH
84,1,1,0,9.0,1.0,6.0,1.37,1.88,TB_MZ_JZJL,JZZDBM
