data_type,nullable,primary_key,max,min,avg,stddev,varience
1,0,0,15.0,4.0,7.79,2.97,8.84
1,0,0,3.0,2.0,2.21,0.41,0.17
1,0,0,15.0,4.0,7.67,2.86,8.21
3,0,0,7.0,7.0,7.0,0.0,0.0
3,0,0,7.0,7.0,7.0,0.0,0.0
1,0,0,10.0,10.0,10.0,0.0,0.0
1,0,0,8.0,8.0,8.0,0.0,0.0
1,0,0,6.0,6.0,6.0,0.0,0.0
1,0,0,15.0,4.0,5.83,0.58,0.34
1,0,0,1.0,1.0,1.0,0.0,0.0
1,0,0,4.0,2.0,2.23,0.42,0.18
1,0,0,15.0,4.0,7.68,2.84,8.09
1,0,0,5.0,4.0,4.04,0.19,0.03
1,0,0,6.0,4.0,5.64,0.77,0.59
3,0,0,7.0,7.0,7.0,0.0,0.0
1,0,0,1.0,1.0,1.0,0.0,0.0
2,1,0,25000.0,-1.0,142.61,906.62,821961.66
1,1,0,2.0,1.0,1.24,0.43,0.18
3,1,0,7.0,7.0,7.0,0.0,0.0
1,1,0,6.0,4.0,5.45,0.89,0.8
1,1,0,17.0,7.0,10.75,2.82,7.96
2,1,0,2000.0,0.0,16.3,72.68,5282.01
1,1,0,5.0,4.0,4.0,0.03,0.0
2,1,0,1929.96,0.0,28.22,87.4,7639.46
1,1,0,,,,,
3,1,0,7.0,7.0,7.0,0.0,0.0
