table_name,column_name,data_type,NUMERIC_PRECISION,CHARACTER_MAXIMUM_LENGTH,NUMERIC_SCALE,nullable,IsPartOfPrimaryKey,max,min,avg,stddev,varience
EMR_MJZFYSFXMMX,MJZH,1,8,8,,1,0,8,8,8,0.0,0.0
EMR_MJZFYSFXMMX,SFRQ,11,23,16,3.0,0,0,8,8,8,0.0,0.0
EMR_MJZFYSFXMMX,SFXMDM,12,10,10,,1,0,10,10,10,0.0,0.0
EMR_MJZFYSFXMMX,SFXMMC,12,255,255,,1,0,38,4,17,6.26,39.23
EMR_MJZFYSFXMMX,SFXMDJ,2,10,12,4.0,0,0,520.0000,0.2400,20.700000,32.76,1073.25
EMR_MJZFYSFXMMX,SFXMSL,2,10,12,2.0,0,0,10.00,1.00,1.100000,0.4,0.16
EMR_MJZFYSFXMMX,SFXMJE,2,16,18,4.0,0,0,520.0000,0.7800,22.450000,34.1,1162.48
EMR_MJZFYSFXMMX,SFXMJE,2,16,18,4.0,0,0,520.0000,0.7800,22.450000,34.1,1162.48
