table_name,column_name,data_type,NUMERIC_PRECISION,CHARACTER_MAXIMUM_LENGTH,NUMERIC_SCALE,nullable,IsPartOfPrimaryKey,max,min,avg,stddev,varience
m_brfy,m_sfxh,1,8,8,,0,0,8,8,8,0.0,0.0
RS_ResidentInfo,JKKH,12,10,10,,1,0,8,8,8,0.0,0.0
m_brfy,m_ghxh,1,8,8,,1,0,8,8,8,0.0,0.0
m_brfy,m_sjh,12,12,12,,0,0,12,1,2,3.07,9.44
m_brfy,m_sfrq,11,23,16,3.0,0,0,8,8,8,0.0,0.0
m_brfy,m_sfje,2,8,10,2.0,1,0,6000.00,-912.56,40.690000,79.02,6243.79
m_brfy,m_sfje,2,8,10,2.0,1,0,6000.00,-912.56,40.690000,79.02,6243.79
