table_name,column_name,data_type,NUMERIC_PRECISION,CHARACTER_MAXIMUM_LENGTH,NUMERIC_SCALE,nullable,IsPartOfPrimaryKey,max,min,avg,stddev,varience
EMR_ZY_FYJS,ZZJGDM,12,20,20,,1,0,12,12,12,0.0,0.0
EMR_ZY_FYJS,BAH,12,10,10,,0,0,8,8,8,0.0,0.0
EMR_ZY_FYJS,JSSJ,11,23,16,3.0,0,0,8,8,8,0.0,0.0
EMR_ZY_FYJS,ZJE,2,10,12,2.0,0,0,25534.77,0.00,4791.540000,3266.47,10669813.61
EMR_ZY_FYJS,ZFJE,2,19,21,2.0,1,0,25534.77,0.00,2404.540000,1916.55,3673162.21
EMR_ZY_FYJS,YBJE,2,11,13,2.0,1,0,11058.33,0.00,2379.120000,2080.29,4327592.69
